company_id,company_name,positive_keywords,negative_keywords,ceo_name,main_services,notes
1,하나루프,"하나루프, hanaloop, 하나에코, hana.eco, 김혜연","하나은행, 하나금융, 하나카드, 하나증권, 하나투어",김혜연,하나에코,ESG SaaS 플랫폼
2,그리너리,"그리너리, greenery, 황유식, 엔비온, envion","그리너리 카페, 그리너리 라운지, 아파트, 부동산, 푸르지오, landscaping, solutions, cafe",황유식,"LCA 시스템, 기후 컨설팅",동명의 카페 및 조경 회사 다수 존재
3,오후두시랩,"오후두시랩, afternoonlab, 그린플로, greenflow, 설수경, 오광명","오후 두시, 2시, 점심시간, 점심, 데이트, 라디오, 라디오 프로그램","설수경, 오광명",그린플로,"동명의 라디오 프로그램, 식당 등 주의"
4,엔츠,"엔츠, AENTS, 엔스코프, aentscope, 박광빈","앤츠, ants, ent, e-sports, entertainment, 철도차량, 제로에너지빌딩",박광빈,엔스코프,철도부품 제조업체 '엔츠'와 이름 혼동 가능
5,리빗,"리빗, Rebit, 탄솔루션, tansolution, 이정민","래빗, rabbit, 토끼, 리빗캐피털, 리빗 캐피털",이정민,탄솔루션,동음이의어(토끼) 및 유명 벤처캐피탈(Ribbit Capital)과 혼동 가능
6,쿤텍,"쿤텍, COONTEC, 방혁준","CooneTec, 보안, 솔루션, 이지즈, AEZIZ, 패스트브이랩스, FastVLabs, 테라그리드, TeraGRID, 사이버보안, 공급망 보안",방혁준,"ESG 솔루션, 공급망 보안",보안 솔루션 전문 기업. ESG 사업은 확장 영역에 해당
7,글래스돔,"글래스돔, glassdome, 김대웅, 함진기, 글래스돔코리아","glass, dome, 유리, 돔, 유리 돔","김대웅, 함진기",제품 탄소 발자국 솔루션,VCP-X 플랫폼의 파트너
8,윈클,"윈클, WinCL, 박성훈",,박성훈,"윈클 모니터링, 윈클 마켓플레이스",솔루션 외에 컨설팅 서비스도 제공
9,후시파트너스,"후시파트너스, NetZ, 넷제로, 이행열, 조성훈",,"이행열, 조성훈","AI탄소플랫폼, 미래배출권 운용",공동대표 체제. 미래배출권 운용 전문
10,페어랩스,"페어랩스, fairlabs, 페어스퀘어랩, 손종진, 김준홍, ESG LENS","페어스퀘어, 블록체인, 가상자산, NFT, 트위그, 조각투자","손종진, 김준홍",ESG LENS,원래 블록체인 기반 핀테크 기업이었음. 공동대표 체제
11,서스틴베스트,"서스틴베스트, sustinvest, 류영재",,류영재,"ESG 평가, 의결권 자문",국내 ESG 평가 및 자문 분야 선도 기업
12,퀀티파이드이에스지,"퀀티파이드이에스지, QESG, QuantifiedESG, 배익현",,배익현,ESG 리포팅 툴,ESG 전문 리서치 및 컨설팅 기업
13,누빅스,"누빅스, VCP-X, 전병기",,전병기,VCP-X 플랫폼,글래스돔과 협력하여 VCP-X 생태계 구축
14,chemtopia,"켐토피아, chemtopia, 박상희","음악, 페스티벌, 콘서트, music, festival, concert",박상희,Carbon-Slim,화학물질/환경안전 컨설팅이 주력. 미국 동명의 음악 행사장 주의
15,로그블랙,"로그블랙, logblack, 유원상, 진성광",,"유원상, 진성광",공급망 ESG 실사 솔루션,공동대표 체제. 공급망 ESG에 특화
16,space bank,"스페이스뱅크, space bank, ESG Wright, 이원희",,이원희,ESG Wright,"주력 사업은 AI 및 DX 솔루션, ESG는 확장 영역"
17,에코비즈허브,"에코비즈허브, EcoBizHub, 이승주","농식품, 농촌개발, 건축설계",이승주,"온실가스 인벤토리 구축, 기후 공시",농식품 컨설팅 사업도 병행하고 있음
18,EDK,"EDK, ESG Dart Korea, 마크스폰, 한정원","glove, gloves, 장갑, 전자부품, 교육, EDK and Company",한정원,EDK 플랫폼,본업은 ESG 컨설팅. 동명의 장갑 제조업체 및 브랜드 에이전시 주의